"please select account type","Vill du beställa som skola eller som privatperson?"
"Private Person","Privatperson"
"City/Stad","Postort"
"Country","Land"
"City","Postort"
"Zip/Postal Code","Postnummer"
"Billing Address","Fakturaadress"
"Shipping Address","Leveransadress"
"Email Address","Emailadress"
"Login","Logga in"
"BILLING ADDRESS","Faktura/leveransadress"
"BILLING ADDRESS PRIVATE","Person- och adressuppgifter (Fakturaadress)"
"SHIPPING ADDRESS","Kontaktperson/leveransmottagare"
"SHIPPING ADDRESS PRIVATE","Leveransadress"
"SHIPPING METHOD","Frakt"
"A mail gets sent for digital products.","För digitala produkter skickas ett mail med inloggningsuppgifter senast nästkommande vardag till registrerad användare."
"PAYMENT METHOD","Betalsätt"
"ORDER REVIEW","Granska beställning"
"Grand Total","Total"
"Email","Emailadress"
"Password","Lösenord"
"Telephone","Telefon"
"Please specify the shipping address to see available options.","Specificera leveransadress för att se tillgängliga fraktalternativ."
"Save in address book","Spara i adressbok"
"Ship to same address","Leverera till samma adress"
"Qty","Antal"
"Product Name","Produktnamn"
 "Subtotal","Total"
"Schools, units and municipalities require the invoice reference entered.","OBS! Viktigt att ange rätt fakturareferens. "
"Invoice Reference can be a combination of numbers and / or letters , and is different for different schools , so it is important that you check what precisely your invoice reference are . Examples of invoice reference, was such ZZ12345 , YY123456 , 12345 , or AA123 . Important to just refnamn / No written into the field, and no other data . Are you missing invoice reference , please fill in your namn.Tack","Skolor, enheter och kommuner kräver att fakturareferens anges. Fakturareferens kan vara en kombination av siffror och/eller bokstäver och ser olika ut för olika skolor, det är därför viktigt att Ni kontrollerar vilken just Er fakturareferens är. Exempel på fakturareferens kan vara t.ex ZZ12345, YY123456, 12345 eller AA123. Det är viktigt att bara refnamn/nr skrivs in i fältet och inga andra uppgifter. Saknar du fakturareferens, vänligen fyll i ditt namn. Tack!"
"Choose Account type","Välj kontotyp"
"Description text for private login","Du kan även som privatkund skapa ett konto. Du slipper fylla i dina uppgifter vid ditt nästa köp,  "
"Create Account", "Skapa konto"
"If you work in a school?", "Jobbar du i skola? "
"Please indicate in which grade you are working in:", "Ange gärna i vilken årskurs du är verksam i:"
"View All", "Visa allt"
"Home", "Hem"
"Products", "Produkter"
"Coupon code is not valid.", "Kupongkoden är inte giltig."
"Coupon code was applied.", "Kupongkoden har blivit tillagd."
"Coupon code was canceled.", "Kupongkoden har blivit borttagen."
"Create account / login as a private person","Skapa konto/logga in som privatperson"
"Create account / login in order to bill the school","Logga in som skolkund / skapa skolkundskonto"
"_Subtotal","Summa"
"price per piece","Pris"
"Address", "Adress"
"Add to Cart", "Lägg i varukorgen"
"Out of stock", "Slut i lager"
"Order","Beställ"
"Oops, something seems to have gone wrong!Try to enter the schools name again and wait a few seconds while our school directory is searched.If your school does not come up - so is your school probably not in our customer and we ask you to contact us by info@majema.se,chat or phone 08-716 67 95 so we can set up your school.regards,We at Majema","Oj, något verkar ha gått fel! Prova att skriva in skolas namn igen och avvakta någon sekund medans vårt skolregister söks igenom. Om din skola ej kommer upp - så finns er skola troligen inte med i vårt kundregister och vi ber er kontakta oss via info@majema.se, chatten eller telefon 08-716 67 95 så lägger vi upp er skola. Hälsningar, Vi på Majema"
"There are no products matching the selection.", "Det finns inga produkter som matchar din sökningen."
"Register an account here", "skapa ett konto här"
"Order canceled by user", "Ordern avbruten av användaren"
"Page","Sida"
"All search results →", "Alla sökresultat"
"Welcome to download our bonus content!", "Välkommen att ladda ner vårt bonusmaterial!"
"Leave your e-mail address to receive free access to Majemas archives, including sample chapter, crafts and more.", "Lämna din e-postadress, så får du fri tillgång till Majemas arkiv med bl.a. provkapitel, pyssel och annat."
"Submit", "Skicka"
"Close", "Stäng"
"* Required Fields", "* Obligatoriska fält"
"Choose Options", "Ange uppgifter"
"When ordering several different users , each email address / username to be unique.", "Vid beställning till flera olika användare, måste varje e-postadress/användarnamn vara unikt."
"Blog","Blogg"
"Choose School", "Välj skola"
"Please wait, processing your order...","Bearbetar din order..."
